阿巴嘎旗,152522
阿坝藏族羌族自治州,513200
阿坝县,513231
阿城区,230112
阿尔山市,152202
阿合奇县,653023
阿克塞哈萨克族自治县,620924
阿克苏地区,652900
阿克苏市,652901
阿克陶县,653022
阿拉尔市,659002
阿拉山口市,652702
阿拉善盟,152900
阿拉善右旗,152922
阿拉善左旗,152921
阿勒泰地区,654300
阿勒泰市,654301
阿里地区,542500
阿鲁科尔沁旗,150421
阿荣旗,150721
阿图什市,653001
阿瓦提县,652928
爱辉区,231102
爱民区,231004
安次区,131002
安达市,231281
安定区,621102
安多县,540624
安福县,360829
安国市,130683
安化县,430923
安徽省,340000
安吉县,330523
安居区,510904
安康市,610900
安龙县,522328
安陆市,420982
安宁区,620105
安宁市,530181
安平县,131125
安庆市,340800
安丘市,370784
安仁县,431028
安塞区,610603
安顺市,520400
安图县,222426
安溪县,350524
安乡县,430721
安新县,130632
安阳市,410500
安阳县,410522
安义县,360123
安源区,360302
安远县,360726
安岳县,512021
安泽县,141026
安州区,510705
鞍山市,210300
昂昂溪区,230205
昂仁县,540226
敖汉旗,150430
澳门特别行政区,820000
八步区,451102
八公山区,340405
八宿县,540326
巴楚县,653130
巴东县,422823
巴里坤哈萨克自治县,650521
巴林右旗,150423
巴林左旗,150422
巴马瑶族自治县,451227
巴南区,500113
巴青县,540628
巴塘县,513335
巴彦淖尔市,150800
巴彦县,230126
巴宜区,540402
巴音郭楞蒙古自治州,652800
巴中市,511900
巴州区,511902
鲅鱼圈区,210804
霸州市,131081
灞桥区,610111
白城市,220800
白河县,610929
白碱滩区,650204
白朗县,540228
白沙黎族自治县,469025
白山市,220600
白水县,610527
白塔区,211002
白银区,620402
白银市,620400
白玉县,513331
白云鄂博矿区,150206
白云区,440111
白云区,520113
百色市,451000
柏乡县,130524
拜城县,652926
拜泉县,230231
班戈县,540627
班玛县,632622
蚌埠市,340300
蚌山区,340303
包河区,340111
包头市,150200
宝安区,440306
宝坻区,120115
宝丰县,410421
宝鸡市,610300
宝清县,230523
宝山区,230506
宝山区,310113
宝塔区,610602
宝兴县,511827
宝应县,321023
保德县,140931
保定市,130600
保靖县,433125
保康县,420626
保山市,530500
保亭黎族苗族自治县,469029
碑林区,610103
北安市,231181
北碚区,500109
北辰区,120113
北川羌族自治县,510726
北戴河区,130304
北关区,410503
北海市,450500
北湖区,431002
北京市,110000
北林区,231202
北流市,450981
北仑区,330206
北票市,211381
北区,810013
北塔区,430511
北屯市,659005
北镇市,210782
本溪满族自治县,210521
本溪市,210500
比如县,540622
毕节市,520500
碧江区,520602
璧山区,500120
边坝县,540330
宾川县,532924
宾县,230125
宾阳县,450126
彬州市,610482
滨城区,371602
滨海县,320922
滨海新区,120116
滨湖区,320211
滨江区,330108
滨州市,371600
波密县,540424
播州区,520304
勃利县,230921
亳州市,341600
博爱县,410822
博白县,450923
博尔塔拉蒙古自治州,652700
博湖县,652829
博乐市,652701
博罗县,441322
博山区,370304
博望区,340506
博兴县,371625
博野县,130637
布尔津县,654321
布拖县,513429
蔡甸区,420114
仓山区,350104
苍南县,330327
苍梧县,450421
苍溪县,510824
沧县,130921
沧源佤族自治县,530927
沧州市,130900
曹妃甸区,130209
曹县,371721
册亨县,522327
策勒县,653225
岑巩县,522626
岑溪市,450481
曾都区,421303
茶陵县,430224
察布查尔锡伯自治县,654022
察哈尔右翼后旗,150928
察哈尔右翼前旗,150926
察哈尔右翼中旗,150927
察雅县,540325
察隅县,540425
柴桑区,360404
禅城区,440604
瀍河回族区,410304
昌都市,540300
昌吉回族自治州,652300
昌吉市,652301
昌江黎族自治县,469026
昌江区,360202
昌乐县,370725
昌黎县,130322
昌宁县,530524
昌平区,110114
昌图县,211224
昌邑区,220202
昌邑市,370786
常德市,430700
常宁市,430482
常山县,330822
常熟市,320581
常州市,320400
巢湖市,340181
朝天区,510812
朝阳区,110105
朝阳区,220104
朝阳市,211300
朝阳县,211321
潮安区,445103
潮南区,440514
潮阳区,440513
潮州市,445100
郴州市,431000
辰溪县,431223
陈巴尔虎旗,150725
陈仓区,610304
称多县,632723
成安县,130424
成都市,510100
成华区,510108
成武县,371723
成县,621221
呈贡区,530114
承德市,130800
承德县,130821
城北区,630105
城步苗族自治县,430529
城东区,630102
城固县,610722
城关区,540102
城关区,620102
城口县,500229
城区,140302
城区,140502
城区,441502
城西区,630104
城厢区,350302
